datetime_utc,value,parameter,unit,sensor_id,location_id,coordinates,summary,period_label
2022-02-04 12:30:00+00:00,21.5,pm25,unknown,1585300,278671,,"{'min': 21.5, 'q02': 21.5, 'q25': 21.5, 'median': 21.5, 'q75': 21.5, 'q98': 21.5, 'max': 21.5, 'avg': 21.5, 'sd': None}",1 hour
2022-02-04 12:30:00+00:00,42.4,o3,unknown,1585301,278671,,"{'min': 42.42, 'q02': 42.42, 'q25': 42.42, 'median': 42.42, 'q75': 42.42, 'q98': 42.42, 'max': 42.42, 'avg': 42.42, 'sd': None}",1 hour
2022-02-04 12:30:00+00:00,25.8,no2,unknown,1585298,278671,,"{'min': 25.82, 'q02': 25.82, 'q25': 25.82, 'median': 25.82, 'q75': 25.82, 'q98': 25.82, 'max': 25.82, 'avg': 25.82, 'sd': None}",1 hour
2022-02-04 12:30:00+00:00,1.48,so2,unknown,1585303,278671,,"{'min': 1.48, 'q02': 1.48, 'q25': 1.48, 'median': 1.48, 'q75': 1.48, 'q98': 1.48, 'max': 1.48, 'avg': 1.48, 'sd': None}",1 hour
2022-02-04 12:30:00+00:00,83.2,pm10,unknown,1585299,278671,,"{'min': 83.2, 'q02': 83.2, 'q25': 83.2, 'median': 83.2, 'q75': 83.2, 'q98': 83.2, 'max': 83.2, 'avg': 83.2, 'sd': None}",1 hour
2022-02-04 23:30:00+00:00,92.2,pm10,unknown,1585299,278671,,"{'min': 92.2, 'q02': 92.2, 'q25': 92.2, 'median': 92.2, 'q75': 92.2, 'q98': 92.2, 'max': 92.2, 'avg': 92.2, 'sd': None}",1 hour
2022-02-04 23:30:00+00:00,0.0,o3,unknown,1585301,278671,,"{'min': 0.0, 'q02': 0.0, 'q25': 0.0, 'median': 0.0, 'q75': 0.0, 'q98': 0.0, 'max': 0.0, 'avg': 0.0, 'sd': None}",1 hour
2022-02-04 23:30:00+00:00,13.6,no2,unknown,1585298,278671,,"{'min': 13.57, 'q02': 13.57, 'q25': 13.57, 'median': 13.57, 'q75': 13.57, 'q98': 13.57, 'max': 13.57, 'avg': 13.57, 'sd': None}",1 hour
2022-02-04 23:30:00+00:00,3.48,so2,unknown,1585303,278671,,"{'min': 3.48, 'q02': 3.48, 'q25': 3.48, 'median': 3.48, 'q75': 3.48, 'q98': 3.48, 'max': 3.48, 'avg': 3.48, 'sd': None}",1 hour
2022-02-04 23:30:00+00:00,52.4,pm25,unknown,1585300,278671,,"{'min': 52.4, 'q02': 52.4, 'q25': 52.4, 'median': 52.4, 'q75': 52.4, 'q98': 52.4, 'max': 52.4, 'avg': 52.4, 'sd': None}",1 hour
2022-02-05 00:30:00+00:00,2.8,so2,unknown,1585303,278671,,"{'min': 2.8, 'q02': 2.8, 'q25': 2.8, 'median': 2.8, 'q75': 2.8, 'q98': 2.8, 'max': 2.8, 'avg': 2.8, 'sd': None}",1 hour
2022-02-05 00:30:00+00:00,99.4,pm10,unknown,1585299,278671,,"{'min': 99.4, 'q02': 99.4, 'q25': 99.4, 'median': 99.4, 'q75': 99.4, 'q98': 99.4, 'max': 99.4, 'avg': 99.4, 'sd': None}",1 hour
2022-02-05 00:30:00+00:00,11.6,no2,unknown,1585298,278671,,"{'min': 11.58, 'q02': 11.58, 'q25': 11.58, 'median': 11.58, 'q75': 11.58, 'q98': 11.58, 'max': 11.58, 'avg': 11.58, 'sd': None}",1 hour
2022-02-05 00:30:00+00:00,0.0,o3,unknown,1585301,278671,,"{'min': 0.0, 'q02': 0.0, 'q25': 0.0, 'median': 0.0, 'q75': 0.0, 'q98': 0.0, 'max': 0.0, 'avg': 0.0, 'sd': None}",1 hour
2022-02-05 00:30:00+00:00,63.2,pm25,unknown,1585300,278671,,"{'min': 63.2, 'q02': 63.2, 'q25': 63.2, 'median': 63.2, 'q75': 63.2, 'q98': 63.2, 'max': 63.2, 'avg': 63.2, 'sd': None}",1 hour
2022-02-05 01:30:00+00:00,12.7,no2,unknown,1585298,278671,,"{'min': 12.65, 'q02': 12.65, 'q25': 12.65, 'median': 12.65, 'q75': 12.65, 'q98': 12.65, 'max': 12.65, 'avg': 12.65, 'sd': None}",1 hour
